source,target,weight,parent_user,source_is_replier,target_is_replier
Betmoreee,0xSerik,1,trump,True,False
Betmoreee,LaunchOnPump,1,trump,True,True
Betmoreee,X,1,trump,True,False
Betmoreee,grok,1,trump,True,True
BidensMyGrandpa,mmpadellan,1,trump,True,False
BigBear00112187,Rollup_News,1,trump,True,True
BigBobArm71,RepAOC,1,aoc,True,False
BigBopper826484,SenateDems,1,aoc,True,False
Bigdaddy001sbak,SenSchumer,1,aoc,True,False
Bigdaddy001sbak,SenateDems,3,aoc,True,False
Bigdawg_89,SenateDems,1,aoc,True,False
Bill11634008,SenSchumer,1,aoc,True,False
Bill11634008,SenateDems,1,aoc,True,False
BillHoop5,SenateDems,1,aoc,True,False
BillRoth21,FrankDangelo23,1,trump,True,True
Binary_Data,Yemenimilitary,1,trump,True,False
BinoVp82,AbraCaDabsFest,1,trump,True,False
BirdsongSalli,SenSchumer,1,aoc,True,False
BirdsongSalli,SenateDems,1,aoc,True,False
BklynContractor,grok,1,trump,True,True
Blaine98035699,HouseDemocrats,1,trump,True,False
Blaine98035699,SenateDems,1,trump,True,False
BlakeSteph2785,LauraLoomer,2,aoc,True,False
BlakeSteph2785,ThatGuyChadL,1,aoc,True,False
BlancoNorm77905,ONE_LOVE_VEGAN8,1,trump,True,True
BlancoNorm77905,amber_grace1,1,trump,True,False
BlipSethika,MrPitbull07,1,trump,True,False
BlipSethika,SonofLiberty357,2,trump,True,False
BlipSethika,omvblackwells88,1,trump,True,False
BlipSethika,that1nerdshelby,1,trump,True,False
BlipSethika,theforevere4,1,trump,True,False
BlissByTheSea34,DianaforQueens,1,aoc,True,False
BlueCheck_No1,DianaforQueens,1,aoc,True,False
BluegrassPundit,SenateDems,1,aoc,True,False
Bmmoody,DianaforQueens,4,aoc,True,False
Bmmoody,existensil,2,aoc,True,True
Bmmoody,noXflyXzone,1,aoc,True,True
BnoFrzn19253,yoitsmitchy2026,2,aoc,True,False
BobJohn19566709,AnotherOne311,2,trump,True,False
BobJohn19566709,VPL2259,2,trump,True,True
BobJohn19566709,mattvanswol,2,trump,True,False
BobRowell1,JoeCitizen15,2,aoc,True,True
BobRowell1,KaizerNYC,2,aoc,True,True
BobRowell1,TheRealShaneEZ,2,aoc,True,True
BobbyParko,FFT1776,2,trump,True,False
BobbyParko,Loretta_L_Moon,1,trump,True,False
Bobby__Tyson,ValentinaForUSA,2,trump,True,False
BocaStevied,PeggyHunn,1,aoc,True,False
BokoChesterlite,imjdsharp,1,trump,True,False
BokoChesterlite,jimmy761995I,1,trump,True,False
BollandJon67944,TheBabyShopLB,1,trump,True,False
BonhesRC,SenateDems,1,aoc,True,False
BonnieJoe103,ArtCandee,1,trump,True,False
BonnieJoe103,ChristinaHambu4,1,trump,True,True
BonnieJoe103,krassenstein,1,trump,True,False
Boogabutts,Firekraker72,3,aoc,True,False
Boogabutts,FlzMichael,1,aoc,True,False
Boogabutts,MikaMacuk,1,aoc,True,True
Boogabutts,SenSchumer,2,aoc,True,False
Boogabutts,SenateDems,5,aoc,True,False
Boogabutts,elspuzad,1,aoc,True,True
Bookerwren1,DianaforQueens,1,aoc,True,False
BotzetLori37531,IAbhay_Pratap,1,trump,True,False
BouchardMJr,SenateDems,1,aoc,True,False
BradVic14,Annie21Williams,2,aoc,True,False
BrenMikii,GuntherEagleman,1,trump,True,False
Brenda13322,Eric__trump0_,1,trump,True,False
BrettAdams12,SenateDems,1,aoc,True,False
Brian03711176,DidDTrumpDie,1,trump,True,False
BrianHerker,F15Synch,1,trump,True,False
Brianjh0867,Acyn,2,aoc,True,False
Brianjh0867,CaroleB36109751,2,aoc,True,True
Brianjh0867,liberalpuppy,2,aoc,True,False
BriggieRhy18906,TrumpGirlOnFire,1,trump,True,False
BrineMccormick,SenateDems,1,aoc,True,False
BringTheLight6,ZannSuz,1,aoc,True,False
BristolTra55199,TexasStrong59,1,aoc,True,True
BrokeBlackIwyDC,Bosshead1996,1,trump,True,False
BrokeBlackIwyDC,LeyaFalcon,1,trump,True,False
BrokenStepford,SenateDems,1,aoc,True,False
BrooklynBlvd1,F15Synch,1,trump,True,False
BryanDublin2,Dan_bongino909,1,trump,True,False
BryanM956239,SenSchumer,1,aoc,True,False
BryanM956239,SenateDems,1,aoc,True,False
Bubblebathgirl,DianaforQueens,1,aoc,True,False
Bumperpunk,SenateDems,1,aoc,True,False
BurnerMcGee513,Nick11894,2,trump,True,True
BuskirkUsmc,CitizenCda,1,trump,True,False
Butterbeanqween,pavlenko_a5624,1,trump,True,False
BuzzzStryker,kevinnbass,1,aoc,True,False
ByerMichelle1,ScrollofTruthIF,1,aoc,True,False
ByteRaha46660,Fx1Jonny,1,trump,True,False
C4t_B0mb,ImJustXenon,1,aoc,True,True
C4t_B0mb,_AlexHirsch,1,aoc,True,False
CDDTReborn,SenateDems,1,aoc,True,False
CFrancies70646,AdrianaD_12,1,trump,True,False
CJDe4KHarris,TRUMP_ARMY_,2,trump,True,False
CJDe4KHarris,TheImmortal007,1,trump,True,False
CJLHR1,sarademers4,1,trump,True,False
CJackson10713,GodandCountryy,1,trump,True,False
CKQu666,JamieBonkiewicz,1,trump,True,False
CKQu666,grok,1,trump,True,True
COMM_NOTED,Double_Anarchy3,7,aoc,True,False
COMM_NOTED,GuntherEagleman,7,aoc,True,False
COMM_NOTED,Lilithsgrrl,6,aoc,True,True
COMM_NOTED,SenateDems,7,aoc,True,False
CQueezy,JayTC53,1,aoc,True,False
CQueezy,Peanuts_Pissed,1,aoc,True,False
CQueezy,ZioTURD,1,aoc,True,False
CRYPTOBOTIC,POTUS,1,trump,True,False
CRYPTOCEL00,Firekraker72,1,aoc,True,False
CRYPTOCEL00,SenateDems,2,aoc,True,False
CV_Dalcher,DonahueWhitney,1,aoc,True,False
CV_Dalcher,LairBear0102,1,aoc,True,True
CaboGirl61300,SenateDems,2,aoc,True,False
CaboGirl61300,TheDemocrats,2,aoc,True,False
Cactusflower62,FrankDangelo23,1,trump,True,True
Cagariniko,YouTubeより,1,trump,True,False
CaitSidhe78,SenateDems,1,aoc,True,False
CallieforTrump,SenateDems,1,aoc,True,False
CallmeAtl,Fishingin828,1,aoc,True,True
CallmeAtl,Rickyh24,1,aoc,True,False
CallmeAtl,joeyfresh04,1,aoc,True,False
CamiMixa,SenateDems,1,aoc,True,False
CanWeBeRealNow,BernieSanders,1,aoc,True,False
Canreadsome,ILA_NewsX,1,trump,True,False
Canreadsome,KenKiness,1,trump,True,True
CanuckKilljoy,rcal_1,1,aoc,True,False
CapitalHB,SenSchumer,1,aoc,True,False
CapitalHB,SenateDems,1,aoc,True,False
CaptainBird5,CAgovernor,1,trump,True,False
CaptainKelty,TRUMP_ARMY_,1,trump,True,False
CaptainKelty,TheImmortal007,1,trump,True,False
Carla35033462,FrankDangelo23,1,trump,True,True
CarlaLove4you,ChiefBoomBoom42,1,aoc,True,False
Carlwjoseph9,grok,1,trump,True,True
Carmen078215654,Pruthv_i_raj,1,trump,True,False
Carmen078215654,SandySaville2,2,trump,True,True
Carmen078215654,grok,1,trump,True,True
CarolJoyce24,SenateDems,1,aoc,True,False
CaroleB36109751,Acyn,4,aoc,True,False
CaroleB36109751,BoonJocks,1,aoc,True,False
CaroleB36109751,Brianjh0867,2,aoc,True,True
CaroleB36109751,NS_Neelotpal,1,aoc,True,False
CaroleB36109751,RealXBailey,1,aoc,True,True
CaroleB36109751,liberalpuppy,4,aoc,True,False
CarolynMack21,LucienWolfe111,1,trump,True,False
CarolynMoney15,HendersonCindy,1,trump,True,True
CarolynMoney15,haral37169,1,trump,True,False
